kappa, group speed, phase speed
1,1.56528,3.13051
2,1.10689,2.21363
3,0.903858,1.80746
4,0.782873,1.56535
5,0.700348,1.40014
6,0.639467,1.2782
7,0.592185,1.18345
8,0.554103,1.10708
9,0.52259,1.04383
10,0.495959,0.990343
11,0.473076,0.944334
12,0.453142,0.904214
13,0.435581,0.868827
14,0.41996,0.837312
15,0.405953,0.809014
16,0.393303,0.783421
17,0.381809,0.760129
18,0.371308,0.738816
19,0.361669,0.719216
20,0.352782,0.701113
21,0.344558,0.684328
22,0.33692,0.668708
23,0.329806,0.654126
24,0.323159,0.640473
25,0.316934,0.627654
26,0.311089,0.61559
27,0.30559,0.604209
28,0.300406,0.593451
29,0.295509,0.583261
30,0.290875,0.573591
31,0.286484,0.5644
32,0.282317,0.555649
33,0.278356,0.547306
34,0.274587,0.53934
35,0.270996,0.531724
36,0.267571,0.524433
37,0.264301,0.517446
38,0.261175,0.510743
39,0.258185,0.504306
40,0.255322,0.498116
41,0.252578,0.492161
42,0.249947,0.486425
43,0.247422,0.480896
44,0.244998,0.475562
45,0.242668,0.470412
46,0.240427,0.465437
47,0.238272,0.460626
48,0.236197,0.455972
49,0.234199,0.451466
50,0.232274,0.447102
51,0.230418,0.442871
52,0.228628,0.438768
53,0.226902,0.434787
54,0.225235,0.430922
55,0.223627,0.427167
56,0.222073,0.423519
57,0.220572,0.419971
58,0.219122,0.416521
59,0.21772,0.413163
60,0.216365,0.409894
61,0.215054,0.406711
62,0.213787,0.403609
63,0.21256,0.400587
64,0.211374,0.397639
65,0.210225,0.394765
66,0.209114,0.39196
67,0.208038,0.389223
68,0.206997,0.386551
69,0.205988,0.383941
70,0.205012,0.381392
71,0.204067,0.378901
72,0.203151,0.376467
73,0.202264,0.374086
74,0.201405,0.371759
75,0.200574,0.369482
76,0.199768,0.367254
77,0.198988,0.365074
78,0.198233,0.362939
79,0.197501,0.36085
80,0.196793,0.358804
81,0.196107,0.356799
82,0.195443,0.354835
83,0.1948,0.352911
84,0.194178,0.351025
85,0.193576,0.349176
86,0.192993,0.347364
87,0.192429,0.345586
88,0.191884,0.343842
89,0.191356,0.342132
90,0.190847,0.340454
91,0.190354,0.338807
92,0.189877,0.337191
93,0.189417,0.335604
94,0.188972,0.334047
95,0.188543,0.332518
96,0.188129,0.331016
97,0.187729,0.32954
98,0.187344,0.328091
99,0.186973,0.326668
100,0.186615,0.325269
101,0.18627,0.323895
102,0.185938,0.322544
103,0.185619,0.321216
104,0.185312,0.319911
105,0.185018,0.318627
106,0.184735,0.317365
107,0.184463,0.316125
108,0.184203,0.314904
109,0.183954,0.313704
110,0.183716,0.312523
111,0.183488,0.311362
112,0.18327,0.310219
113,0.183063,0.309095
114,0.182865,0.307988
115,0.182678,0.3069
116,0.182499,0.305828
117,0.18233,0.304773
118,0.18217,0.303735
119,0.182019,0.302713
120,0.181877,0.301706
121,0.181743,0.300715
122,0.181617,0.29974
123,0.1815,0.298779
124,0.181391,0.297833
125,0.18129,0.296901
126,0.181196,0.295983
127,0.18111,0.295079
128,0.181031,0.294188
129,0.18096,0.29331
130,0.180896,0.292446
131,0.180839,0.291594
132,0.180789,0.290755
133,0.180745,0.289928
134,0.180708,0.289113
135,0.180678,0.28831
136,0.180654,0.287518
137,0.180637,0.286738
138,0.180625,0.285969
139,0.18062,0.285211
140,0.18062,0.284464
141,0.180626,0.283728
142,0.180639,0.283002
143,0.180656,0.282286
144,0.180679,0.28158
145,0.180708,0.280885
146,0.180742,0.280199
147,0.180781,0.279522
148,0.180825,0.278855
149,0.180875,0.278197
150,0.180929,0.277549
151,0.180988,0.276909
152,0.181052,0.276278
153,0.181121,0.275656
154,0.181194,0.275042
155,0.181272,0.274437
156,0.181355,0.27384
157,0.181442,0.273251
158,0.181533,0.272671
159,0.181628,0.272098
160,0.181728,0.271533
161,0.181831,0.270975
162,0.181939,0.270425
163,0.182051,0.269883
164,0.182166,0.269348
165,0.182286,0.26882
166,0.182409,0.268299
167,0.182536,0.267785
168,0.182666,0.267278
169,0.182801,0.266777
170,0.182938,0.266284
171,0.18308,0.265797
172,0.183224,0.265316
173,0.183372,0.264842
174,0.183523,0.264374
175,0.183678,0.263913
176,0.183836,0.263457
177,0.183997,0.263008
178,0.184161,0.262565
179,0.184328,0.262127
180,0.184498,0.261695
181,0.184671,0.261269
182,0.184847,0.260849
183,0.185026,0.260434
184,0.185207,0.260025
185,0.185391,0.259621
186,0.185579,0.259222
187,0.185768,0.258829
188,0.185961,0.258441
189,0.186156,0.258058
190,0.186353,0.25768
191,0.186553,0.257307
192,0.186756,0.256939
193,0.186961,0.256576
194,0.187168,0.256218
195,0.187378,0.255864
196,0.18759,0.255515
197,0.187804,0.255171
198,0.18802,0.254831
199,0.188239,0.254496
200,0.18846,0.254165
201,0.188683,0.253839
202,0.188908,0.253517
203,0.189135,0.253199
204,0.189365,0.252886
205,0.189596,0.252576
206,0.189829,0.252271
207,0.190064,0.25197
208,0.190301,0.251673
209,0.19054,0.25138
210,0.190781,0.251091
211,0.191023,0.250806
212,0.191268,0.250524
213,0.191514,0.250247
214,0.191762,0.249973
215,0.192011,0.249703
216,0.192262,0.249436
217,0.192515,0.249173
218,0.19277,0.248914
219,0.193026,0.248658
220,0.193283,0.248406
221,0.193543,0.248157
222,0.193803,0.247912
223,0.194065,0.24767
224,0.194329,0.247431
225,0.194594,0.247195
226,0.194861,0.246963
227,0.195129,0.246734
228,0.195398,0.246509
229,0.195668,0.246286
230,0.19594,0.246066
231,0.196214,0.24585
232,0.196488,0.245637
233,0.196764,0.245426
234,0.197041,0.245219
235,0.197319,0.245015
236,0.197599,0.244813
237,0.197879,0.244614
238,0.198161,0.244419
239,0.198444,0.244226
240,0.198728,0.244036
241,0.199013,0.243848
242,0.199299,0.243663
243,0.199586,0.243481
244,0.199875,0.243302
245,0.200164,0.243125
246,0.200454,0.242951
247,0.200746,0.24278
248,0.201038,0.242611
249,0.201331,0.242445
250,0.201626,0.242281
251,0.201921,0.242119
252,0.202217,0.241961
253,0.202514,0.241804
254,0.202811,0.24165
255,0.20311,0.241498
256,0.203409,0.241349
257,0.20371,0.241202
258,0.204011,0.241057
259,0.204313,0.240915
260,0.204615,0.240774
261,0.204919,0.240636
262,0.205223,0.240501
263,0.205528,0.240367
264,0.205834,0.240236
265,0.20614,0.240107
266,0.206447,0.239979
267,0.206755,0.239854
268,0.207063,0.239731
269,0.207372,0.239611
270,0.207682,0.239492
271,0.207992,0.239375
272,0.208303,0.23926
273,0.208615,0.239147
274,0.208927,0.239036
275,0.20924,0.238928
276,0.209553,0.238821
277,0.209867,0.238715
278,0.210182,0.238612
279,0.210497,0.238511
280,0.210812,0.238411
281,0.211128,0.238314
282,0.211445,0.238218
283,0.211762,0.238124
284,0.212079,0.238032
285,0.212397,0.237941
286,0.212715,0.237852
287,0.213034,0.237765
288,0.213354,0.23768
